member,download,type,text,規格書
PAR004C1,已下載,CLP,銷售地區碼資料列印  ,
PAR005C,已下載,CLP,銷售地區區域碼資料列印  ,
PAR005C1,已下載,CLP,銷售地區區域碼資料列印  ,
PAR007C,已下載,CLP,代碼資料列印－數字  ,
PAR007C1,已下載,CLP,代碼資料列印－數字  ,
PAR010C,已下載,CLP,部門品牌對照資料列印  updbystephanie,
PAR010C1,已下載,CLP,部門品牌對照資料列印  updbystephanie,
PAR011C,已下載,CLP,部門成本中心對照資料列印  ,
PAR011C1,已下載,CLP,部門成本中心對照資料列印  ,
PAR012C,已下載,CLP,試飲Ａ＆Ｐ對照資料列印  ,
PAR012C1,已下載,CLP,試飲Ａ＆Ｐ對照資料列印  ,
PAR013C,已下載,CLP,業務員部門對照資料列印  ,
PAR013C1,已下載,CLP,業務員部門對照資料列印  ,
PAR014C,已下載,CLP,銷售大區域碼資料列印  ,
PAR014C1,已下載,CLP,銷售大區域地區碼資料列印  ,
PAR015C,已下載,CLP,銷售大區域地區碼資料列印  ,
PAR015C1,已下載,CLP,銷售大區域地區碼資料列印  ,
PAR018C,已下載,CLP,新產品種類代碼列印  ,
PAR018C1,已下載,CLP,新產品種類代碼列印  ,
PAR019C,已下載,CLP,ＡＭＰ代碼列印  ,
PAR019C1,已下載,CLP,ＡＭＰ代碼列印,
PAR020C,已下載,CLP,試飲ＡＭＰ對照資料列印,
PAR020C1,已下載,CLP,試飲ＡＭＰ對照資料列印,
PIA004C,已下載,CLP,盤點資料清除,
PIB002C,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
PIB002CS,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
PIB003C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
PIB004C,已下載,CLP,專櫃盤點年終成本庫存更新－盤點,
PIB006C,已下載,CLP,專櫃採購月底成本庫存更新－採購,
PIM000C,已下載,CLP,盤點作業系統主畫面,
PIR041C,已下載,CLP,盤點單列印,
PIR041C1,已下載,CLP,盤點單列印,
PIR042C,已下載,CLP,盤點清冊,
PIR042C1,已下載,CLP,盤點清冊,
PIR043C,已下載,CLP,盤盈虧表,
PIR043C1,已下載,CLP,盤盈虧表,
PIR044C,已下載,CLP,物流點盤點明細表,
PIR044C1,已下載,CLP,物流點盤點明細表,
PIR045C,已下載,CLP,盤點庫存檢查報表,
PIR045C1,已下載,CLP,盤點庫存檢查報表,
PIR046C,已下載,CLP,年終成本數量列印,
PIR046C1,已下載,CLP,年終成本數量列印,
PIR047C,已下載,CLP,年終成本標準箱數表,
PIR047C.1,已下載,CLP,年終成本標準箱數表,
PIR047C1,已下載,CLP,年終成本標準箱數表,
PIR048C,已下載,CLP,年終庫存物流彙總表,
PIR048C1,已下載,CLP,年終庫存物流彙總表,
POA008C,已下載,CLP,採購單批次結案,
POA061C,已下載,CLP,採購資料轉歷史檔案,
POM000C,已下載,CLP,採購管理系統主畫面,
POM001C,已下載,CLP,採購報表系統主畫面,
POR041C,已下載,CLP,供應商報價明細表,
POR041C1,已下載,CLP,供應商報價明細表,
POR042C,已下載,CLP,產品報價比較表,
POR042C1,已下載,CLP,產品報價比較表,
POR043C,已下載,CLP,採購單列印,
